D:\PD\Laba_3\pd_lab_3\dataset\negative\0000.txt,negative\0000.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0001.txt,negative\0001.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0002.txt,negative\0002.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0003.txt,negative\0003.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0004.txt,negative\0004.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0005.txt,negative\0005.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0006.txt,negative\0006.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0007.txt,negative\0007.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0008.txt,negative\0008.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0009.txt,negative\0009.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0010.txt,negative\0010.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0011.txt,negative\0011.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0012.txt,negative\0012.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0013.txt,negative\0013.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0014.txt,negative\0014.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0015.txt,negative\0015.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0016.txt,negative\0016.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0017.txt,negative\0017.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0018.txt,negative\0018.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0019.txt,negative\0019.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0020.txt,negative\0020.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0021.txt,negative\0021.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0022.txt,negative\0022.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0023.txt,negative\0023.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0024.txt,negative\0024.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0025.txt,negative\0025.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0026.txt,negative\0026.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0027.txt,negative\0027.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0028.txt,negative\0028.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0029.txt,negative\0029.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0030.txt,negative\0030.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0031.txt,negative\0031.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0032.txt,negative\0032.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0033.txt,negative\0033.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0034.txt,negative\0034.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0035.txt,negative\0035.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0036.txt,negative\0036.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0037.txt,negative\0037.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0038.txt,negative\0038.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0039.txt,negative\0039.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0040.txt,negative\0040.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0041.txt,negative\0041.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0042.txt,negative\0042.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0043.txt,negative\0043.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0044.txt,negative\0044.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0045.txt,negative\0045.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0046.txt,negative\0046.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0047.txt,negative\0047.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0048.txt,negative\0048.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0049.txt,negative\0049.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0050.txt,negative\0050.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0051.txt,negative\0051.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0052.txt,negative\0052.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0053.txt,negative\0053.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0054.txt,negative\0054.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0055.txt,negative\0055.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0056.txt,negative\0056.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0057.txt,negative\0057.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0058.txt,negative\0058.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0059.txt,negative\0059.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0060.txt,negative\0060.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0061.txt,negative\0061.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0062.txt,negative\0062.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0063.txt,negative\0063.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0064.txt,negative\0064.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0065.txt,negative\0065.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0066.txt,negative\0066.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0067.txt,negative\0067.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0068.txt,negative\0068.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0069.txt,negative\0069.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0070.txt,negative\0070.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0071.txt,negative\0071.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0072.txt,negative\0072.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0073.txt,negative\0073.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0074.txt,negative\0074.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0075.txt,negative\0075.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0076.txt,negative\0076.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0077.txt,negative\0077.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0078.txt,negative\0078.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0079.txt,negative\0079.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0080.txt,negative\0080.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0081.txt,negative\0081.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0082.txt,negative\0082.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0083.txt,negative\0083.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0084.txt,negative\0084.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0085.txt,negative\0085.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0086.txt,negative\0086.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0087.txt,negative\0087.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0088.txt,negative\0088.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0089.txt,negative\0089.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0090.txt,negative\0090.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0091.txt,negative\0091.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0092.txt,negative\0092.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0093.txt,negative\0093.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0094.txt,negative\0094.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0095.txt,negative\0095.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\negative\0096.txt,negative\0096.txt,negative
D:\PD\Laba_3\pd_lab_3\dataset\positive\0000.txt,positive\0000.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0001.txt,positive\0001.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0002.txt,positive\0002.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0003.txt,positive\0003.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0004.txt,positive\0004.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0005.txt,positive\0005.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0006.txt,positive\0006.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0007.txt,positive\0007.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0008.txt,positive\0008.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0009.txt,positive\0009.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0010.txt,positive\0010.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0011.txt,positive\0011.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0012.txt,positive\0012.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0013.txt,positive\0013.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0014.txt,positive\0014.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0015.txt,positive\0015.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0016.txt,positive\0016.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0017.txt,positive\0017.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0018.txt,positive\0018.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0019.txt,positive\0019.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0020.txt,positive\0020.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0021.txt,positive\0021.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0022.txt,positive\0022.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0023.txt,positive\0023.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0024.txt,positive\0024.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0025.txt,positive\0025.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0026.txt,positive\0026.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0027.txt,positive\0027.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0028.txt,positive\0028.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0029.txt,positive\0029.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0030.txt,positive\0030.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0031.txt,positive\0031.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0032.txt,positive\0032.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0033.txt,positive\0033.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0034.txt,positive\0034.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0035.txt,positive\0035.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0036.txt,positive\0036.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0037.txt,positive\0037.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0038.txt,positive\0038.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0039.txt,positive\0039.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0040.txt,positive\0040.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0041.txt,positive\0041.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0042.txt,positive\0042.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0043.txt,positive\0043.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0044.txt,positive\0044.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0045.txt,positive\0045.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0046.txt,positive\0046.txt,positive
D:\PD\Laba_3\pd_lab_3\dataset\positive\0047.txt,positive\0047.txt,positive
